Promedio_Anual,Calificacion_Cualitativa,Edad,Genero,Anio_Escolar,Periodo_Lectivo,Numero_Inasistencias,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral,Animacion_Lectura,Orientacion_Vocacional,Participacion_Extracurriculares,Materias_Refuerzo,Cantidad_Proyectos,Tareas_Refuerzo_Porc,Acceso_Transporte_Privado,Uso_Comedor_Estudiantil,Acceso_Recursos_Tecnologicos,Participacion_Eventos_Culturales,Estrato_Socioeconomico,Categoria_Rendimiento
6.69,B-,16,Masculino,Primero de Bachillerato,2022-2023,10,0,0,B-,E+,C+,3,0,1,0,No,Nunca,Si,0,Media,Bajo
6.51,B-,18,Femenino,Segundo de Bachillerato,2023-2024,9,0,1,B+,D-,B+,3,0,4,0,No,Diario,Si,3,Baja,Bueno
5.7,C+,16,Femenino,Decimo,2022-2023,7,60,0,D+,B+,E-,3,3,1,50,Si,Ocasional,Si,0,Media,Bajo
5.59,C+,15,Femenino,Decimo,2023-2024,7,55,2,B+,B+,C+,0,2,0,64,Si,Ocasional,Si,1,Media,Variable
7.01,B-,19,Femenino,Tercero de Bachillerato,2022-2023,10,0,0,B+,C+,A+,4,0,4,0,No,Ocasional,Si,2,Media,MuyBajo
6.81,B-,16,Femenino,Decimo,2023-2024,7,95,1,D-,A-,B-,0,1,3,90,Si,Diario,No,1,Baja,MuyBajo
9.24,A-,15,Femenino,Decimo,2023-2024,6,92,0,B+,B-,A-,2,1,4,52,Si,Nunca,Si,2,Media,MuyBajo
6.92,B-,15,Masculino,Noveno,2022-2023,8,64,0,C+,C+,B-,2,3,1,52,No,Diario,No,1,Media,Bajo
6.07,C+,14,Femenino,Octavo,2022-2023,5,60,0,C+,B+,C-,0,2,2,99,No,Nunca,No,1,Alta,MuyBajo
7.99,B+,16,Femenino,Decimo,2023-2024,7,0,0,A+,B+,C+,3,0,1,0,No,Diario,No,2,Baja,Bajo
7.08,B-,14,Femenino,Octavo,2023-2024,4,97,0,A+,D-,B-,0,1,4,85,No,Nunca,Si,1,Media,Bajo
6.91,B-,15,Femenino,Noveno,2022-2023,7,0,0,A-,B+,B-,2,0,1,0,Si,Ocasional,No,1,Media,Bueno
6.52,B-,19,Femenino,Tercero de Bachillerato,2023-2024,9,0,0,C-,C-,C+,4,0,4,0,Si,Ocasional,Si,2,Media,Bajo
9.74,A+,13,Femenino,Octavo,2022-2023,6,0,0,C-,B+,B-,1,0,4,0,Si,Nunca,No,1,Alta,Bajo
6.48,C+,16,Femenino,Primero de Bachillerato,2022-2023,8,0,1,B-,C-,C+,3,0,0,0,Si,Nunca,No,1,Media,Bajo
7.26,B-,19,Femenino,Tercero de Bachillerato,2023-2024,10,84,0,B+,C+,C+,3,3,4,78,Si,Diario,No,2,Media,Bajo
4.81,C-,13,Femenino,Octavo,2023-2024,4,0,1,C+,C+,C+,2,0,3,0,No,Ocasional,Si,1,Media,Bajo
6.15,C+,14,Femenino,Octavo,2022-2023,5,0,0,B-,C+,C+,3,0,2,0,No,Diario,Si,0,Media,Bueno
6.24,C+,18,Femenino,Tercero de Bachillerato,2022-2023,11,0,1,C-,B-,D+,2,0,1,0,Si,Ocasional,No,3,Media,Bajo
5.98,C+,14,Femenino,Noveno,2023-2024,6,0,0,B+,D+,D+,2,0,4,0,Si,Ocasional,Si,2,Media,Bajo
5.7,C+,13,Femenino,Octavo,2022-2023,6,0,0,C+,B-,B+,1,0,0,0,No,Ocasional,No,1,Media,Bajo
8.55,A-,18,Femenino,Tercero de Bachillerato,2023-2024,10,0,0,B-,C-,B-,1,0,1,0,No,Diario,Si,3,Media,MuyBajo
5.47,C-,14,Masculino,Noveno,2022-2023,7,72,0,B-,C+,A-,2,3,1,67,No,Ocasional,Si,0,Baja,MuyBajo
7.08,B-,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,0,B+,A+,D+,2,0,1,0,Si,Nunca,No,3,Baja,Bajo
4.48,D+,13,Femenino,Octavo,2023-2024,4,64,1,C-,B-,B+,1,1,1,89,Si,Nunca,Si,1,Media,Bueno
6.43,C+,16,Femenino,Primero de Bachillerato,2023-2024,7,0,1,C-,D+,B+,1,0,3,0,Si,Ocasional,No,2,Media,Bajo
7.28,B-,16,Femenino,Decimo,2023-2024,6,98,1,B+,A+,E-,0,2,2,73,No,Diario,Si,2,Media,Bajo
8.22,B+,16,Femenino,Primero de Bachillerato,2022-2023,9,81,0,B-,B+,B-,2,3,1,67,Si,Ocasional,Si,1,Media,Bajo
6.6,B-,14,Femenino,Octavo,2023-2024,4,0,2,C+,C+,B+,0,0,3,0,Si,Ocasional,Si,2,Alta,Bueno
6.28,C+,13,Femenino,Octavo,2022-2023,5,0,1,A-,B+,B+,2,0,1,0,No,Ocasional,Si,1,Media,Bajo
6.86,B-,17,Femenino,Segundo de Bachillerato,2023-2024,8,0,0,D-,B-,B+,4,0,0,0,Si,Diario,Si,2,Media,MuyBajo
7.45,B-,13,Femenino,Octavo,2023-2024,4,74,0,B-,B-,B-,0,2,2,73,Si,Nunca,Si,2,Alta,Variable
6.45,C+,16,Femenino,Primero de Bachillerato,2022-2023,9,0,1,C+,C+,D+,2,0,3,0,No,Diario,No,1,Baja,Bajo
6.02,C+,17,Masculino,Primero de Bachillerato,2022-2023,9,0,0,C+,C+,B-,4,0,3,0,Si,Ocasional,No,0,Media,MuyBajo
2.89,D-,13,Masculino,Octavo,2023-2024,4,0,1,B-,B-,E+,4,0,2,0,Si,Diario,Si,2,Media,Bajo
5.7,C+,13,Masculino,Octavo,2022-2023,6,0,2,B-,D+,B-,3,0,1,0,Si,Diario,No,1,Media,Bajo
7.51,B+,15,Masculino,Noveno,2022-2023,6,0,0,B+,C+,B-,2,0,2,0,Si,Ocasional,Si,0,Alta,Bajo
5.95,C+,13,Femenino,Octavo,2022-2023,6,0,1,B-,C+,B-,3,0,1,0,Si,Nunca,No,0,Media,Bajo
6.79,B-,14,Masculino,Octavo,2023-2024,4,80,1,C+,B-,C+,1,1,1,76,Si,Ocasional,Si,1,Media,Bueno
7.49,B-,15,Femenino,Noveno,2023-2024,6,100,0,C+,C+,E+,3,2,4,66,Si,Diario,Si,2,Media,Bajo
6.01,C+,15,Masculino,Decimo,2023-2024,7,56,0,D+,B-,D+,2,1,3,63,Si,Diario,Si,1,Media,Bueno
6.35,C+,15,Femenino,Noveno,2022-2023,6,0,1,C-,C+,B+,3,0,2,0,No,Diario,No,2,Baja,Bueno
5.42,C-,16,Masculino,Primero de Bachillerato,2022-2023,9,0,2,B+,B-,B+,4,0,4,0,No,Ocasional,Si,2,Media,MuyBajo
6.96,B-,18,Masculino,Tercero de Bachillerato,2023-2024,10,0,1,B+,B+,B+,2,0,0,0,No,Ocasional,Si,2,Media,Bajo
5.45,C-,13,Femenino,Octavo,2022-2023,5,86,2,B+,C-,B+,1,2,4,72,No,Nunca,No,1,Baja,Sobresaliente
6.61,B-,13,Femenino,Octavo,2023-2024,5,0,1,A-,C+,B-,0,0,4,0,No,Ocasional,Si,1,Media,MuyBajo
6.66,B-,13,Femenino,Octavo,2022-2023,6,90,0,B+,C-,B-,1,1,3,90,Si,Diario,No,1,Media,Bajo
6.51,B-,17,Femenino,Primero de Bachillerato,2022-2023,9,0,1,D+,C-,D-,1,0,1,0,No,Ocasional,Si,0,Media,Bueno
6.23,C+,14,Masculino,Noveno,2022-2023,6,70,1,C-,A-,C+,3,3,2,68,Si,Ocasional,No,2,Media,Bajo
7.33,B-,18,Femenino,Segundo de Bachillerato,2022-2023,10,0,1,B-,B+,B+,3,0,2,0,Si,Ocasional,Si,2,Baja,Bajo
5.95,C+,16,Masculino,Decimo,2022-2023,9,0,1,B+,B+,B+,4,0,1,0,Si,Ocasional,Si,1,Media,Bajo
5.46,C-,14,Femenino,Noveno,2022-2023,6,0,0,E+,C+,C-,1,0,1,0,No,Diario,Si,2,Media,Sobresaliente
4.6,C-,15,Masculino,Noveno,2022-2023,7,0,0,B+,B+,C+,1,0,1,0,Si,Diario,No,0,Media,Bajo
6.63,B-,14,Femenino,Noveno,2023-2024,5,0,1,C+,B+,B-,0,0,3,0,Si,Ocasional,No,0,Media,Bueno
7.04,B-,15,Masculino,Noveno,2022-2023,6,51,0,C+,B-,B+,4,3,0,98,No,Ocasional,Si,0,Media,Sobresaliente
5.46,C-,13,Femenino,Octavo,2023-2024,4,55,0,E+,B+,B+,3,2,2,64,No,Ocasional,No,0,Media,Bueno
6.36,C+,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,1,C+,B+,D+,2,0,1,0,No,Ocasional,No,3,Baja,Bajo
7.06,B-,13,Masculino,Octavo,2022-2023,5,92,0,C-,A+,C+,3,2,4,80,No,Diario,No,1,Media,Bajo
7.94,B+,15,Masculino,Decimo,2023-2024,8,78,0,A-,B+,B+,2,3,4,84,No,Diario,Si,0,Media,Bueno
7.27,B-,19,Femenino,Tercero de Bachillerato,2023-2024,10,0,0,C+,B-,B-,4,0,4,0,No,Nunca,Si,3,Baja,Bueno
6.04,C+,18,Femenino,Tercero de Bachillerato,2023-2024,10,0,0,C-,C+,D+,4,0,1,0,Si,Ocasional,Si,3,Media,Bajo
5.71,C+,13,Femenino,Octavo,2022-2023,6,0,0,B+,C+,B-,2,0,3,0,Si,Nunca,Si,1,Media,Bajo
6.28,C+,13,Femenino,Octavo,2022-2023,5,0,1,B-,D+,C+,2,0,0,0,No,Nunca,No,0,Media,Bajo
6.28,C+,18,Masculino,Segundo de Bachillerato,2022-2023,9,0,1,B-,B+,B+,4,0,3,0,No,Ocasional,Si,2,Baja,Bajo
6.25,C+,15,Masculino,Noveno,2023-2024,5,94,0,B-,C-,B-,4,2,3,69,Si,Diario,Si,0,Baja,Bajo
6.39,C+,13,Femenino,Octavo,2022-2023,5,100,1,C+,B-,C+,0,3,3,73,No,Diario,No,0,Baja,MuyBajo
6.07,C+,17,Femenino,Primero de Bachillerato,2023-2024,8,0,1,E+,D+,B-,4,0,1,0,Si,Ocasional,Si,0,Media,Bajo
6.04,C+,16,Femenino,Decimo,2022-2023,8,74,0,E+,C-,B+,1,2,1,55,Si,Ocasional,Si,1,Media,Bajo
5.41,C-,19,Femenino,Tercero de Bachillerato,2022-2023,11,0,1,C+,C-,E+,3,0,4,0,No,Ocasional,No,3,Media,Sobresaliente
5.79,C+,15,Femenino,Decimo,2022-2023,8,62,1,B+,C+,C+,0,1,0,58,No,Diario,Si,1,Baja,Bajo
5.1,C-,16,Masculino,Decimo,2022-2023,8,0,1,C+,C-,B+,4,0,4,0,Si,Diario,Si,1,Media,Bajo
4.49,D+,14,Femenino,Noveno,2022-2023,6,0,0,C+,C-,B-,2,0,1,0,No,Ocasional,Si,0,Media,Bajo
5.04,C-,15,Masculino,Decimo,2023-2024,8,0,1,D+,C-,C+,1,0,0,0,Si,Diario,Si,0,Media,Bajo
6.3,C+,14,Femenino,Noveno,2023-2024,6,0,1,C+,A+,C-,1,0,3,0,No,Ocasional,Si,2,Media,Bajo
6.85,B-,14,Masculino,Octavo,2022-2023,5,64,0,B-,B-,E+,1,1,1,50,No,Diario,Si,1,Baja,Bajo
5.32,C-,13,Masculino,Octavo,2023-2024,5,0,0,C-,D+,C-,3,0,2,0,No,Ocasional,No,1,Media,Bajo
7.6,B+,13,Masculino,Octavo,2023-2024,6,100,0,A-,B+,B+,1,2,0,55,Si,Ocasional,No,0,Media,Bueno
4.13,D+,14,Femenino,Noveno,2022-2023,7,0,0,B+,C-,D+,0,0,3,0,No,Nunca,Si,2,Alta,MuyBajo
7.67,B+,16,Masculino,Primero de Bachillerato,2023-2024,7,0,1,A-,A-,C-,4,0,0,0,No,Diario,No,1,Baja,Bajo
5.99,C+,13,Femenino,Octavo,2023-2024,4,0,0,B-,C-,C-,3,0,1,0,Si,Nunca,Si,1,Media,MuyBajo
7.56,B+,15,Femenino,Noveno,2022-2023,6,0,0,B+,B+,B-,1,0,0,0,No,Nunca,Si,1,Media,Bajo
7.69,B+,14,Femenino,Octavo,2023-2024,4,0,1,B+,A+,A-,3,0,2,0,No,Nunca,Si,1,Media,Bajo
6.35,C+,13,Femenino,Octavo,2023-2024,4,90,0,B+,C+,B+,0,3,0,85,Si,Ocasional,Si,2,Alta,Bajo
7.76,B+,13,Femenino,Octavo,2022-2023,6,0,0,C+,A+,C+,2,0,2,0,No,Diario,Si,0,Baja,MuyBajo
4.84,C-,13,Masculino,Octavo,2022-2023,7,63,0,C+,E+,E-,1,1,2,90,Si,Ocasional,Si,1,Media,Bajo
4.71,C-,13,Femenino,Octavo,2022-2023,5,0,0,E-,B-,B-,2,0,0,0,No,Nunca,No,2,Media,Bajo
4.97,C-,13,Femenino,Octavo,2022-2023,5,0,2,D+,C-,C-,0,0,4,0,No,Nunca,No,0,Baja,Bueno
6.59,B-,18,Masculino,Segundo de Bachillerato,2023-2024,9,0,1,C-,C-,C+,3,0,0,0,Si,Diario,No,2,Media,Bajo
7.35,B-,14,Femenino,Noveno,2023-2024,5,81,1,A+,A-,B-,0,3,0,89,No,Diario,Si,1,Baja,MuyBajo
5.57,C+,15,Femenino,Decimo,2023-2024,7,0,1,C-,C+,C+,1,0,4,0,Si,Nunca,Si,2,Media,Bajo
5.41,C-,14,Masculino,Noveno,2023-2024,5,81,0,E-,A-,D+,2,2,2,85,No,Nunca,Si,2,Media,MuyBajo
7.22,B-,14,Femenino,Noveno,2022-2023,6,0,0,D+,B-,B-,0,0,3,0,No,Nunca,Si,2,Media,Bueno
5.77,C+,14,Femenino,Noveno,2022-2023,6,66,1,E+,C-,C-,0,2,4,95,Si,Nunca,Si,1,Media,Bajo
5.63,C+,17,Masculino,Segundo de Bachillerato,2023-2024,10,0,0,D+,C+,E+,5,0,4,0,Si,Diario,Si,1,Alta,Bueno
5.88,C+,13,Femenino,Octavo,2022-2023,6,70,0,D+,B-,C-,3,2,1,88,Si,Nunca,Si,2,Alta,Bueno
7.46,B-,15,Femenino,Decimo,2023-2024,6,0,0,D+,B-,B-,3,0,2,0,Si,Nunca,Si,1,Alta,Bajo
3.66,D+,15,Masculino,Noveno,2022-2023,7,0,2,C-,B-,D-,4,0,4,0,Si,Ocasional,Si,0,Media,Bajo
5.42,C-,14,Femenino,Noveno,2023-2024,5,0,1,C+,B+,B+,0,0,2,0,Si,Ocasional,Si,2,Alta,Bajo
8.89,A-,15,Femenino,Noveno,2022-2023,6,0,0,B-,C+,B+,2,0,0,0,No,Diario,Si,2,Media,Bajo
5.26,C-,16,Masculino,Decimo,2022-2023,9,0,0,E-,B+,D+,4,0,4,0,Si,Diario,No,0,Media,Bueno
6.22,C+,15,Femenino,Noveno,2022-2023,7,0,0,B-,B+,A-,1,0,2,0,No,Ocasional,Si,2,Baja,Bajo
5.09,C-,16,Femenino,Primero de Bachillerato,2023-2024,8,0,2,B-,E-,E-,3,0,0,0,Si,Diario,Si,0,Media,Bueno
6.45,C+,17,Femenino,Primero de Bachillerato,2023-2024,7,0,0,C+,C-,C+,1,0,1,0,No,Diario,Si,0,Media,Bueno
7.64,B+,14,Femenino,Noveno,2023-2024,5,0,0,C+,B+,B+,0,0,1,0,No,Diario,Si,1,Media,Bajo
5.73,C+,13,Masculino,Octavo,2022-2023,5,0,0,C-,C-,C+,4,0,3,0,Si,Nunca,Si,2,Media,Bueno
6.55,B-,15,Femenino,Noveno,2023-2024,6,0,1,B+,C+,E-,0,0,1,0,No,Ocasional,Si,1,Media,Bueno
6.97,B-,14,Femenino,Octavo,2023-2024,4,50,0,B+,D+,C-,1,3,3,81,Si,Diario,No,0,Media,Bajo
5.53,C+,16,Masculino,Decimo,2022-2023,7,0,0,D-,C-,B-,3,0,3,0,Si,Nunca,Si,2,Media,Bajo
5.24,C-,13,Femenino,Octavo,2022-2023,5,0,2,C+,A+,C+,2,0,0,0,No,Ocasional,Si,2,Media,Bueno
6.8,B-,15,Femenino,Noveno,2022-2023,6,69,0,C+,B-,A-,0,1,0,83,No,Nunca,No,0,Baja,Bueno
7.87,B+,18,Femenino,Segundo de Bachillerato,2023-2024,8,84,0,C+,C+,A+,4,1,1,62,No,Ocasional,Si,3,Baja,Bajo
6.76,B-,14,Femenino,Octavo,2022-2023,5,0,0,B+,E-,B+,3,0,0,0,No,Ocasional,No,2,Media,Bajo
7.22,B-,16,Femenino,Decimo,2022-2023,8,0,0,D-,B-,B-,3,0,3,0,No,Diario,Si,2,Media,Bueno
3.02,D-,13,Femenino,Octavo,2022-2023,5,0,1,D+,D-,C+,1,0,3,0,No,Ocasional,Si,2,Media,Bueno
6.46,C+,15,Femenino,Noveno,2022-2023,7,0,0,B-,C-,B+,1,0,4,0,No,Nunca,No,2,Media,Bueno
6.16,C+,15,Femenino,Decimo,2023-2024,7,0,0,C+,B+,B-,2,0,2,0,Si,Diario,Si,2,Media,Bajo
5.96,C+,14,Masculino,Noveno,2022-2023,7,98,0,C+,C+,C-,4,3,1,70,No,Nunca,Si,2,Media,Bajo
7.42,B-,14,Femenino,Octavo,2022-2023,5,74,0,C-,C+,C-,2,2,3,78,No,Ocasional,Si,1,Media,Bajo
5.94,C+,15,Femenino,Decimo,2022-2023,7,68,0,C+,C+,C-,0,3,0,58,No,Diario,Si,1,Media,Bueno
7.22,B-,13,Femenino,Octavo,2022-2023,5,0,1,A+,C+,D-,1,0,0,0,Si,Nunca,Si,1,Media,Bueno
1.85,E+,15,Femenino,Noveno,2023-2024,6,85,2,C+,D-,B-,1,1,2,52,No,Diario,Si,1,Media,MuyBajo
6.42,C+,13,Masculino,Octavo,2022-2023,5,66,1,C+,B-,A+,3,3,2,65,Si,Ocasional,No,0,Media,Bueno
4.65,C-,13,Femenino,Octavo,2023-2024,4,0,0,D+,C-,D-,3,0,1,0,No,Diario,No,2,Media,Bueno
5.01,C-,15,Masculino,Noveno,2023-2024,5,0,2,C-,C-,B-,3,0,1,0,Si,Diario,Si,1,Media,MuyBajo
6.95,B-,18,Masculino,Tercero de Bachillerato,2022-2023,12,0,0,B+,C+,C-,2,0,2,0,No,Ocasional,No,3,Media,Bajo
7.35,B-,16,Femenino,Primero de Bachillerato,2023-2024,8,0,1,B-,B-,B-,1,0,2,0,No,Ocasional,Si,0,Media,Bajo
6.47,C+,15,Masculino,Decimo,2023-2024,7,76,1,B-,B+,E-,1,1,4,97,No,Ocasional,No,2,Media,Bueno
7.76,B+,15,Femenino,Decimo,2022-2023,8,53,1,A-,B+,C+,2,3,4,52,Si,Ocasional,Si,1,Media,Bueno
5.58,C+,14,Masculino,Octavo,2022-2023,5,70,0,B+,A-,E-,2,1,3,53,No,Nunca,Si,2,Media,Bajo
6.89,B-,16,Femenino,Primero de Bachillerato,2022-2023,8,0,1,C+,B-,B-,2,0,2,0,No,Nunca,Si,1,Media,MuyBajo
5.94,C+,16,Femenino,Primero de Bachillerato,2022-2023,8,0,0,A+,C+,B+,2,0,0,0,No,Ocasional,Si,1,Media,Bueno
6.23,C+,16,Femenino,Primero de Bachillerato,2022-2023,8,0,1,C+,B+,B+,4,0,0,0,Si,Diario,Si,1,Baja,Bajo
5.16,C-,15,Masculino,Decimo,2022-2023,9,77,2,B+,D-,C+,2,1,1,80,No,Ocasional,Si,2,Media,Bajo
6.62,B-,14,Femenino,Noveno,2022-2023,7,91,0,B+,C-,C+,1,3,4,89,Si,Ocasional,Si,2,Media,Bajo
8.08,B+,14,Femenino,Noveno,2022-2023,6,0,0,A-,B-,B+,0,0,3,0,No,Nunca,Si,1,Media,Bueno
4.86,C-,15,Femenino,Decimo,2023-2024,6,0,1,D+,C+,A-,0,0,3,0,Si,Diario,Si,2,Alta,Bajo
4.7,C-,13,Masculino,Octavo,2023-2024,5,72,0,E-,B+,D+,2,2,0,72,No,Diario,Si,2,Media,Bueno
5.0,C-,18,Femenino,Tercero de Bachillerato,2023-2024,9,0,2,C-,C-,D-,3,0,3,0,No,Nunca,No,3,Media,Bueno
6.91,B-,16,Femenino,Decimo,2022-2023,7,0,0,C+,B-,B-,3,0,1,0,Si,Diario,Si,0,Media,Bajo
5.1,C-,13,Masculino,Octavo,2023-2024,6,73,1,B-,B-,C+,2,3,0,55,Si,Diario,No,0,Media,Sobresaliente
7.98,B+,15,Masculino,Decimo,2022-2023,9,59,0,A-,E+,B-,3,1,0,71,Si,Ocasional,No,2,Media,Bajo
6.67,B-,13,Femenino,Octavo,2022-2023,6,0,1,A-,B+,D+,3,0,2,0,No,Diario,Si,0,Media,Bueno
5.52,C+,13,Femenino,Octavo,2022-2023,5,63,2,D-,E-,A+,2,3,1,80,Si,Ocasional,No,2,Media,Bueno
5.53,C+,15,Masculino,Noveno,2022-2023,8,0,0,C+,E-,B-,1,0,4,0,Si,Diario,No,1,Media,Bajo
5.69,C+,14,Femenino,Octavo,2022-2023,5,66,1,D-,C+,C-,1,1,4,68,No,Ocasional,Si,0,Media,Bajo
7.45,B-,13,Femenino,Octavo,2022-2023,5,0,0,C+,A+,B-,3,0,0,0,Si,Ocasional,Si,2,Media,Bajo
7.16,B-,18,Femenino,Tercero de Bachillerato,2023-2024,10,0,0,C-,C+,C+,3,0,2,0,No,Nunca,Si,3,Baja,Variable
7.12,B-,16,Femenino,Primero de Bachillerato,2023-2024,7,0,0,B-,E-,B+,3,0,3,0,No,Diario,Si,2,Media,Bueno
6.64,B-,13,Femenino,Octavo,2023-2024,5,82,0,C-,B+,A+,0,2,4,81,No,Ocasional,No,2,Media,Bajo
5.44,C-,13,Femenino,Octavo,2023-2024,4,0,2,C+,C+,C+,1,0,3,0,Si,Diario,Si,2,Media,MuyBajo
6.0,C+,15,Femenino,Noveno,2022-2023,6,0,1,C+,B-,B+,0,0,4,0,Si,Nunca,Si,0,Alta,Bueno
8.24,B+,17,Femenino,Segundo de Bachillerato,2022-2023,10,81,0,A-,B+,C-,4,3,2,60,No,Ocasional,Si,1,Media,Bueno
5.03,C-,16,Masculino,Decimo,2023-2024,7,72,1,C-,C-,C-,3,1,0,82,No,Ocasional,Si,1,Media,MuyBajo
6.93,B-,18,Femenino,Segundo de Bachillerato,2022-2023,10,0,1,B-,D-,B-,4,0,4,0,No,Ocasional,No,1,Baja,Bajo
5.71,C+,13,Femenino,Octavo,2023-2024,4,0,0,B-,B-,C-,1,0,3,0,No,Ocasional,Si,1,Media,Bueno
6.28,C+,15,Femenino,Noveno,2022-2023,6,55,1,C+,D-,C+,3,3,1,93,No,Diario,Si,2,Media,Bajo
6.78,B-,15,Femenino,Decimo,2022-2023,7,86,0,A+,C-,D+,1,2,2,69,Si,Nunca,Si,2,Alta,Bueno
5.23,C-,14,Femenino,Noveno,2023-2024,5,63,0,B-,B+,D+,1,3,1,84,No,Ocasional,Si,2,Media,Sobresaliente
5.89,C+,13,Femenino,Octavo,2023-2024,5,0,1,C-,C-,A-,1,0,1,0,No,Diario,Si,1,Media,Bueno
5.32,C-,14,Femenino,Octavo,2023-2024,4,70,1,C-,C-,D+,0,3,0,84,Si,Ocasional,Si,2,Media,Bueno
6.04,C+,14,Femenino,Noveno,2022-2023,7,0,0,D+,A-,E+,1,0,0,0,No,Nunca,No,2,Baja,Bajo
7.34,B-,13,Femenino,Octavo,2022-2023,6,76,1,A-,B-,A-,2,2,2,97,Si,Ocasional,Si,2,Media,Bueno
6.36,C+,16,Femenino,Primero de Bachillerato,2023-2024,7,0,1,C+,C+,A-,1,0,1,0,No,Diario,Si,0,Media,Bueno
6.7,B-,15,Femenino,Decimo,2022-2023,8,88,1,C+,C-,C+,1,3,0,64,Si,Nunca,Si,0,Media,MuyBajo
5.48,C-,13,Masculino,Octavo,2022-2023,5,94,1,D+,D-,C+,4,1,3,82,No,Diario,Si,2,Baja,Variable
5.13,C-,15,Masculino,Noveno,2023-2024,7,0,0,C+,B+,B-,3,0,3,0,No,Ocasional,No,0,Media,Bueno
6.35,C+,15,Masculino,Decimo,2022-2023,8,0,0,A+,B+,C+,2,0,1,0,No,Ocasional,Si,0,Media,Bajo
5.92,C+,13,Femenino,Octavo,2022-2023,5,0,1,B+,B+,C-,3,0,2,0,No,Diario,No,0,Baja,Bajo
6.36,C+,14,Femenino,Noveno,2023-2024,5,0,1,B-,E-,B-,1,0,0,0,No,Ocasional,Si,0,Media,Bajo
5.78,C+,13,Femenino,Octavo,2022-2023,6,89,1,A+,B-,C+,3,3,1,70,No,Ocasional,Si,1,Media,Sobresaliente
6.57,B-,13,Femenino,Octavo,2022-2023,6,99,1,B+,B+,A+,0,3,2,97,No,Diario,No,1,Baja,Bueno
5.09,C-,14,Masculino,Noveno,2022-2023,8,97,0,C-,C+,C+,1,3,3,56,No,Diario,Si,1,Media,Bajo
6.51,B-,16,Masculino,Primero de Bachillerato,2023-2024,7,83,0,B-,D+,C-,5,3,3,52,Si,Ocasional,No,2,Baja,Bajo
5.67,C+,16,Masculino,Decimo,2023-2024,8,53,0,C-,D+,C+,2,2,2,78,Si,Ocasional,Si,1,Alta,Bajo
5.54,C+,14,Masculino,Noveno,2022-2023,7,0,0,D-,A-,A-,2,0,2,0,Si,Nunca,Si,1,Alta,Bajo
7.44,B-,14,Femenino,Octavo,2023-2024,4,94,0,C-,B-,B-,1,2,0,91,Si,Nunca,Si,1,Alta,Variable
5.9,C+,15,Femenino,Noveno,2022-2023,6,0,0,C-,B-,D+,1,0,4,0,Si,Ocasional,Si,2,Media,Bajo
7.22,B-,14,Femenino,Noveno,2023-2024,6,76,0,A+,B+,B+,2,2,3,51,No,Diario,Si,0,Baja,Bueno
5.22,C-,16,Femenino,Decimo,2023-2024,6,0,0,D+,B+,E+,3,0,2,0,No,Ocasional,Si,0,Media,Bajo
6.15,C+,14,Femenino,Noveno,2022-2023,6,0,2,B-,C-,B+,0,0,0,0,Si,Diario,Si,0,Media,Bajo
6.47,C+,14,Masculino,Octavo,2022-2023,6,0,0,B+,B-,B+,3,0,4,0,No,Diario,Si,0,Media,Bajo
5.86,C+,16,Femenino,Decimo,2023-2024,7,0,0,D+,A-,C-,1,0,4,0,Si,Diario,Si,1,Baja,MuyBajo
5.81,C+,13,Masculino,Octavo,2023-2024,4,99,0,C+,C-,D+,2,2,1,86,No,Nunca,Si,2,Media,Bajo
6.87,B-,15,Masculino,Decimo,2023-2024,6,0,0,C+,B+,B+,2,0,0,0,Si,Diario,No,2,Media,Bajo
6.33,C+,14,Masculino,Noveno,2022-2023,7,0,0,A-,C+,C-,3,0,3,0,No,Diario,Si,2,Baja,Bajo
6.98,B-,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,0,C+,A+,B-,1,0,1,0,Si,Ocasional,Si,1,Alta,MuyBajo
6.44,C+,17,Femenino,Segundo de Bachillerato,2022-2023,10,0,0,B-,B+,C+,1,0,3,0,Si,Diario,Si,2,Media,Bueno
4.89,C-,13,Masculino,Octavo,2023-2024,6,50,0,C-,D-,C-,4,1,3,63,No,Ocasional,Si,2,Media,Bajo
9.41,A-,16,Femenino,Primero de Bachillerato,2023-2024,8,0,0,D+,A+,B+,4,0,4,0,No,Diario,Si,0,Baja,Bajo
6.49,C+,15,Masculino,Noveno,2022-2023,6,65,0,C+,B+,B+,3,3,1,90,No,Diario,Si,2,Media,Bueno
5.46,C-,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,0,C-,C-,B-,2,0,2,0,Si,Ocasional,No,1,Media,Bajo
6.12,C+,14,Femenino,Noveno,2022-2023,6,0,1,D-,A+,C+,0,0,4,0,No,Ocasional,No,2,Media,Bueno
5.66,C+,16,Masculino,Decimo,2023-2024,7,0,0,E-,B-,B-,3,0,0,0,No,Ocasional,Si,0,Baja,Bueno
7.38,B-,15,Masculino,Decimo,2023-2024,7,0,0,B-,A+,A+,2,0,2,0,Si,Ocasional,Si,0,Media,Variable
5.17,C-,14,Femenino,Octavo,2022-2023,5,0,0,E-,C+,C-,3,0,4,0,No,Ocasional,Si,2,Media,Sobresaliente
